央视频道,#genre#
CCTV1,http://192.168.1.31:4022/rtp/238.1.78.166:7200
CCTV2,http://192.168.1.31:4022/rtp/238.1.78.235:7752
CCTV3,http://192.168.1.31:4022/rtp/238.1.78.170:7232
CCTV4,http://192.168.1.31:4022/rtp/238.1.78.236:7760
CCTV5,http://192.168.1.31:4022/rtp/238.1.78.171:7240
CCTV5+,http://192.168.1.31:4022/rtp/238.1.78.237:7768
CCTV6,http://192.168.1.31:4022/rtp/238.1.78.172:7248
CCTV7,http://192.168.1.31:4022/rtp/238.1.78.239:7784
CCTV8,http://192.168.1.31:4022/rtp/238.1.78.173:7256
CCTV9,http://192.168.1.31:4022/rtp/238.1.78.240:7792
CCTV10,http://192.168.1.31:4022/rtp/238.1.78.241:7800
CCTV11,http://192.168.1.31:4022/rtp/238.1.78.206:7502
CCTV12,http://192.168.1.31:4022/rtp/238.1.78.242:7808
CCTV13,http://192.168.1.31:4022/rtp/238.1.79.35:4392
CCTV14,http://192.168.1.31:4022/rtp/238.1.78.243:7816
CCTV15,http://192.168.1.31:4022/rtp/238.1.78.222:7648
CCTV17,http://192.168.1.31:4022/rtp/238.1.78.178:7296
CCTV4K,http://192.168.1.31:4022/rtp/238.1.79.23:4296

卫视频道,#genre#
北京卫视,http://192.168.1.31:4022/rtp/238.1.79.24:4304
安徽卫视,http://192.168.1.31:4022/rtp/238.1.78.137:6968
天津卫视,http://192.168.1.31:4022/rtp/238.1.78.20:6088
河北卫视,http://192.168.1.31:4022/rtp/238.1.78.245:7832
江苏卫视,http://192.168.1.31:4022/rtp/238.1.78.37:4088
东方卫视,http://192.168.1.31:4022/rtp/238.1.78.163:7176
浙江卫视,http://192.168.1.31:4022/rtp/238.1.79.28:4336
东南卫视,http://192.168.1.31:4022/rtp/238.1.78.22:6104
东方卫视,http://192.168.1.31:4022/rtp/238.1.79.39:4428
深圳卫视,http://192.168.1.31:4022/rtp/238.1.79.26:4320
贵州卫视,http://192.168.1.31:4022/rtp/238.1.78.244:7824
四川卫视,http://192.168.1.31:4022/rtp/238.1.79.51:4520
重庆卫视,http://192.168.1.31:4022/rtp/238.1.78.31:6176
海南卫视,http://192.168.1.31:4022/rtp/238.1.79.49:4504
河南卫视,http://192.168.1.31:4022/rtp/238.1.79.65:4632
黑龙江卫视,http://192.168.1.31:4022/rtp/238.1.78.159:7144
湖北卫视,http://192.168.1.31:4022/rtp/238.1.78.168:7216
湖南卫视,http://192.168.1.31:4022/rtp/238.1.79.38:4416
吉林卫视,http://192.168.1.31:4022/rtp/238.1.79.48:4496
江西卫视,http://192.168.1.31:4022/rtp/238.1.78.26:6136
辽宁卫视,http://192.168.1.31:4022/rtp/238.1.78.21:6096
宁夏卫视,http://192.168.1.31:4022/rtp/238.1.79.4:4144
山东卫视,http://192.168.1.31:4022/rtp/238.1.79.29:4344
甘肃卫视,http://192.168.1.31:4022/rtp/238.1.79.36:4400
西藏卫视,http://192.168.1.31:4022/rtp/238.1.79.1:4120
新疆卫视,http://192.168.1.31:4022/rtp/238.1.79.2:4128
兵团卫视,http://192.168.1.31:4022/rtp/238.1.79.3:4136

安徽频道,#genre#
安徽公共,http://192.168.1.31:4022/rtp/238.1.79.43:4456
安徽经济生活,http://192.168.1.31:4022/rtp/238.1.79.44:4464
安徽影视,http://192.168.1.31:4022/rtp/238.1.79.42:4448
安徽国际,http://192.168.1.31:4022/rtp/238.1.78.61:6360

CCTV频道,#genre#
CCTV-电视指南,http://192.168.1.31:4022/rtp/238.1.79.53:4560
CCTV-兵器科技,http://192.168.1.31:4022/rtp/238.1.79.56:4584
CCTV-第一剧场,http://192.168.1.31:4022/rtp/238.1.79.63:4640
CCTV-风云剧场,http://192.168.1.31:4022/rtp/238.1.79.62:4632
CCTV-风云音乐,http://192.168.1.31:4022/rtp/238.1.79.64:4648
CCTV-风云足球,http://192.168.1.31:4022/rtp/238.1.79.57:4592
CCTV-高尔夫·网球,http://192.168.1.31:4022/rtp/238.1.79.58:4600
CCTV-怀旧剧场,http://192.168.1.31:4022/rtp/238.1.79.61:4624
CCTV-女性时尚,http://192.168.1.31:4022/rtp/238.1.79.55:4576
CCTV-世界地理,http://192.168.1.31:4022/rtp/238.1.79.60:4616
CCTV-央视台球,http://192.168.1.31:4022/rtp/238.1.79.59:4608
CCTV-央视文化精品,http://192.168.1.31:4022/rtp/238.1.79.54:4568
CHC·影迷电影,http://192.168.1.31:4022/rtp/238.1.79.17:4248
CHC·动作电影,http://192.168.1.31:4022/rtp/238.1.79.18:4256
